epoch,train_node,train_node_persist,train_node_ratio,val_node,val_node_persist,val_node_ratio,train_total,val_total,val_ladder,val_ladder_persist,val_ladder_ratio,val_ladder_n,val_ladder_shrink,val_ladder_alpha,val_ladder_vs_shrink,val_ladder_moved,val_ladder_moved_persist,val_ladder_moved_ratio,val_ladder_moved_n,val_ladder_moved_shrink,val_ladder_moved_alpha,val_ladder_moved_vs_shrink,val_mece,val_mece_persist,val_mece_ratio,val_mece_n,val_mece_shrink,val_mece_alpha,val_mece_vs_shrink,seconds
0,0.008922,0.008911,1.001189,0.006445,0.006430,1.002309,0.027684,0.018861,0.002007,0.002004,1.001327,426061,0.002002,0.995409,1.002268,0.013143,0.013320,0.986740,64099,0.013133,0.931464,1.000765,0.008374,0.008251,1.014829,64717,0.007719,0.869975,1.084870,126.3
1,0.008937,0.008911,1.002887,0.006473,0.006430,1.006684,0.027141,0.020708,0.002030,0.002004,1.013002,426061,0.002002,0.995409,1.013954,0.013047,0.013320,0.979485,64099,0.013133,0.931464,0.993407,0.010072,0.008251,1.220636,64717,0.007719,0.869975,1.304881,121.7
2,0.008973,0.008911,1.006887,0.006482,0.006430,1.007999,0.026767,0.018425,0.002060,0.002004,1.028016,426061,0.002002,0.995409,1.028981,0.012981,0.013320,0.974533,64099,0.013133,0.931464,0.988385,0.007910,0.008251,0.958660,64717,0.007719,0.869975,1.024825,122.4
3,0.008976,0.008911,1.007257,0.006497,0.006430,1.010341,0.026468,0.018772,0.002072,0.002004,1.033921,426061,0.002002,0.995409,1.034892,0.012942,0.013320,0.971645,64099,0.013133,0.931464,0.985456,0.008243,0.008251,0.999056,64717,0.007719,0.869975,1.068009,498.7
4,0.008972,0.008911,1.006779,0.006518,0.006430,1.013647,0.026019,0.017872,0.002083,0.002004,1.039608,426061,0.002002,0.995409,1.040584,0.012906,0.013320,0.968908,64099,0.013133,0.931464,0.982679,0.007356,0.008251,0.891546,64717,0.007719,0.869975,0.953078,131.4
5,0.008975,0.008911,1.007130,0.006536,0.006430,1.016470,0.025619,0.017811,0.002085,0.002004,1.040333,426061,0.002002,0.995409,1.041310,0.012897,0.013320,0.968234,64099,0.013133,0.931464,0.981996,0.007291,0.008251,0.883620,64717,0.007719,0.869975,0.944605,134.3
6,0.008984,0.008911,1.008193,0.006548,0.006430,1.018295,0.025291,0.017518,0.002104,0.002004,1.049736,426061,0.002002,0.995409,1.050722,0.012879,0.013320,0.966930,64099,0.013133,0.931464,0.980673,0.006982,0.008251,0.846163,64717,0.007719,0.869975,0.904564,134.5
7,0.008986,0.008911,1.008389,0.006546,0.006430,1.017934,0.024950,0.017409,0.002119,0.002004,1.057301,426061,0.002002,0.995409,1.058295,0.012861,0.013320,0.965558,64099,0.013133,0.931464,0.979282,0.006863,0.008251,0.831733,64717,0.007719,0.869975,0.889137,187.7
8,0.008984,0.008911,1.008146,0.006540,0.006430,1.017001,0.024872,0.018549,0.002120,0.002004,1.058057,426061,0.002002,0.995409,1.059051,0.012851,0.013320,0.964791,64099,0.013133,0.931464,0.978504,0.007943,0.008251,0.962636,64717,0.007719,0.869975,1.029075,179.7
