epoch,train_node,train_node_persist,train_node_ratio,val_node,val_node_persist,val_node_ratio,train_total,val_total,val_ladder,val_ladder_persist,val_ladder_ratio,val_ladder_n,val_ladder_shrink,val_ladder_alpha,val_ladder_vs_shrink,val_ladder_moved,val_ladder_moved_persist,val_ladder_moved_ratio,val_ladder_moved_n,val_ladder_moved_shrink,val_ladder_moved_alpha,val_ladder_moved_vs_shrink,val_mece,val_mece_persist,val_mece_ratio,val_mece_n,val_mece_shrink,val_mece_alpha,val_mece_vs_shrink,seconds
0,0.008922,0.008911,1.001223,0.006447,0.006430,1.002504,0.032613,0.021998,0.005952,0.006012,0.990132,426061,0.002002,0.995409,2.973185,0.013105,0.013320,0.983868,64099,0.013133,0.931464,0.997852,0.008323,0.008251,1.008648,64717,0.007719,0.869975,1.078263,653.6
1,0.008950,0.008911,1.004375,0.006495,0.006430,1.009980,0.032023,0.023841,0.005961,0.006012,0.991522,426061,0.002002,0.995409,2.977361,0.012981,0.013320,0.974565,64099,0.013133,0.931464,0.988417,0.010006,0.008251,1.212713,64717,0.007719,0.869975,1.296411,110.5
2,0.008999,0.008911,1.009831,0.006506,0.006430,1.011773,0.031631,0.021629,0.005987,0.006012,0.995852,426061,0.002002,0.995409,2.990361,0.012898,0.013320,0.968306,64099,0.013133,0.931464,0.982069,0.007908,0.008251,0.958415,64717,0.007719,0.869975,1.024562,124.7
3,0.009002,0.008911,1.010212,0.006521,0.006430,1.014017,0.031228,0.021979,0.005990,0.006012,0.996451,426061,0.002002,0.995409,2.992162,0.012841,0.013320,0.964054,64099,0.013133,0.931464,0.977756,0.008257,0.008251,1.000644,64717,0.007719,0.869975,1.069706,120.9
4,0.008998,0.008911,1.009793,0.006536,0.006430,1.016461,0.030883,0.021048,0.005996,0.006012,0.997408,426061,0.002002,0.995409,2.995035,0.012797,0.013320,0.960770,64099,0.013133,0.931464,0.974426,0.007343,0.008251,0.889878,64717,0.007719,0.869975,0.951295,123.1
5,0.009000,0.008911,1.009955,0.006548,0.006430,1.018234,0.030460,0.021003,0.005990,0.006012,0.996295,426061,0.002002,0.995409,2.991693,0.012780,0.013320,0.959454,64099,0.013133,0.931464,0.973091,0.007299,0.008251,0.884651,64717,0.007719,0.869975,0.945707,122.1
