epoch,train_node,train_node_persist,train_node_ratio,val_node,val_node_persist,val_node_ratio,train_total,val_total,val_ladder,val_ladder_persist,val_ladder_ratio,val_ladder_n,val_mece,val_mece_persist,val_mece_ratio,val_mece_n,seconds
0,0.009334,0.009328,1.000662,0.007179,0.007172,1.000989,0.026012,0.018391,0.002007,0.002004,1.001433,426061,0.008403,0.008251,1.018349,64717,130.1
1,0.009338,0.009328,1.001157,0.007191,0.007172,1.002656,0.025468,0.020305,0.002024,0.002004,1.010014,426061,0.010169,0.008251,1.232369,64717,128.3
2,0.009357,0.009328,1.003149,0.007209,0.007172,1.005166,0.025086,0.017988,0.002048,0.002004,1.021814,426061,0.007958,0.008251,0.964444,64717,127.5
3,0.009376,0.009328,1.005185,0.007229,0.007172,1.007974,0.024796,0.018404,0.002060,0.002004,1.028024,426061,0.008340,0.008251,1.010777,64717,129.8
4,0.009388,0.009328,1.006423,0.007266,0.007172,1.013153,0.024394,0.017417,0.002066,0.002004,1.031174,426061,0.007355,0.008251,0.891330,64717,122.7
5,0.009410,0.009328,1.008772,0.007296,0.007172,1.017322,0.024011,0.017398,0.002064,0.002004,1.030173,426061,0.007318,0.008251,0.886904,64717,125.0
