epoch,train_node,train_node_persist,train_node_ratio,val_node,val_node_persist,val_node_ratio,train_total,val_total,val_ladder,val_ladder_persist,val_ladder_ratio,val_ladder_n,val_mece,val_mece_persist,val_mece_ratio,val_mece_n,seconds
0,0.008921,0.008911,1.001145,0.006445,0.006430,1.002288,0.025417,0.017445,0.002007,0.002004,1.001340,426061,0.008401,0.008251,1.018100,64717,118.7
1,0.008933,0.008911,1.002449,0.006466,0.006430,1.005586,0.024899,0.019170,0.002022,0.002004,1.009039,426061,0.009985,0.008251,1.210179,64717,142.0
2,0.008962,0.008911,1.005701,0.006474,0.006430,1.006724,0.024527,0.016952,0.002044,0.002004,1.019865,426061,0.007881,0.008251,0.955075,64717,122.0
